     0.12000000      1.98000002
     0.14000000      1.98000002
     0.16000000      1.98000002
     0.18000001      1.98000002
     0.12000000      1.99000001
     0.14000000      1.99000001
     0.16000000      1.99000001
     0.18000001      1.99000001
     0.12000000      2.00000000
     0.14000000      2.00000000
     0.16000000      2.00000000
     0.18000001      2.00000000
     0.12000000      2.00999999
     0.14000000      2.00999999
     0.16000000      2.00999999
     0.18000001      2.00999999
